"2019, Среднесписочная численность работников","2019, Дебиторская задолженность, RUB","2019, Денежные средства и денежные эквиваленты, RUB","2019, Капитал и резервы, RUB","2019, Заёмные средства (краткосрочные), RUB","2019, Кредиторская задолженность, RUB","2019, Пассивы всего, RUB","2019, Выручка, RUB","2019, Себестоимость продаж, RUB","2019, Валовая прибыль (убыток), RUB","2019, Коммерческие расходы, RUB","2019, Управленческие расходы, RUB","2019, Прибыль (убыток) от продажи, RUB","2019, Доходы от участия в других организациях, RUB","2019, Проценты к получению, RUB","2019, Проценты к уплате, RUB","2019, Прочие доходы, RUB","2019, Прочие расходы, RUB","2019, Прибыль (убыток) до налогообложения , RUB","2019, Текущий налог на прибыль, RUB","2019, Чистая прибыль (убыток), RUB","2019, Прибыль от приносящей доход деятельности, RUB","2019, Всего поступило средств, RUB","2019, Расходы на целевые мероприятия, RUB","2019, Расходы на содержание аппарата управления, RUB","2019, Приобретение основных средств, инвентаря и иного имущества, RUB","2019, Всего использовано средств, RUB","2019, Остаток средств на конец отчетного года, RUB"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,204000.0,204000.0,,,204000.0,,,,,,,,,,,,,,,,700000.0,240000.0,259000.0,,499000.0,204000.0
,,19729000.0,19739000.0,,,19739000.0,,,,,,,,,,,,,,,,34106000.0,13934000.0,78000.0,,14417000.0,19739000.0
,71000.0,8000.0,8000.0,,,79000.0,,,,,,,,,,,,,,,,27000.0,,,17000.0,19000.0,8000.0
,,1060000.0,,,,1060000.0,,,,,,,,,,,,,,,,515000.0,,69000.0,,82000.0,1060000.0
,,1000000.0,,,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,
,,10000.0,,,10000.0,10000.0,,,,,,,,,,,,,,,,70000.0,,51000.0,,60000.0,
,855000.0,505000.0,1650000.0,,8000.0,1657000.0,,,,,,,,,,6000.0,25000.0,-19000.0,,-19000.0,,4085000.0,1634000.0,669000.0,12000.0,2435000.0,1650000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78000.0,107000.0,,1000.0,108000.0,,,,,,,,,,,,,,,,4918000.0,5503000.0,793000.0,,6297000.0,76000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147000.0,1019000.0,-17000.0,10000.0,21000.0,1166000.0,,,,,,,,,,,,,,,,2283000.0,390000.0,475000.0,266000.0,1131000.0,1152000.0
,50631000.0,16186000.0,,,29441000.0,68101000.0,,,,,,,,,,,,,,,,82703000.0,58660000.0,30943000.0,,89603000.0,13439000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41000.0,335000.0,406000.0,,,406000.0,,,,,,,,,,,,,,,,2776000.0,2049000.0,550000.0,116000.0,2749000.0,406000.0
,81000.0,149000.0,731000.0,,158000.0,889000.0,,,,,,,,,,,,,,,,278000.0,752000.0,,,786000.0,1175000.0
,112000.0,132000.0,3317000.0,,13000.0,3330000.0,148000.0,146000.0,2000.0,,,2000.0,,38000.0,,,32000.0,8000.0,,5000.0,5000.0,3465000.0,2598000.0,,,2598000.0,3312000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2208000.0,2208000.0,,,2208000.0,,,,,,,,,,,,,,,,13983000.0,12315000.0,122000.0,,12437000.0,2208000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158000.0,4000.0,,,660000.0,377000.0,,84000.0,,,,-84000.0,,,,1000.0,45000.0,-128000.0,,-128000.0,,,,,,,
,1875000.0,436000.0,1200000.0,,1354000.0,2554000.0,,,,,,,,,,,,,,,,1738000.0,681000.0,714000.0,,1449000.0,1079000.0
,,,-195000.0,,,,,,,,,,,,,,,,,,,,,,,,
,1184000.0,237000.0,10000.0,,1227000.0,1599000.0,,,,,,,,,,,,,,,,1267000.0,918000.0,,,918000.0,348000.0
,26000.0,52000.0,70000.0,,8000.0,78000.0,,,,,,,,,,,,,,,,500000.0,914000.0,206000.0,,1120000.0,70000.0
,608000.0,301000.0,,,316000.0,910000.0,1992000.0,1104000.0,,,,888000.0,,,,,71000.0,817000.0,99000.0,718000.0,,6250000.0,3508000.0,,,6155000.0,95000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,163000.0,163000.0,
,,13677000.0,,,,13677000.0,,,,,,,,,,,,,,,527000.0,29007000.0,21043000.0,1154000.0,,22197000.0,13677000.0
,,106000.0,,,,211000.0,,,,,,,,,,,,,,,,,,,,,
,15000.0,95000.0,110000.0,,,110000.0,51000.0,47000.0,4000.0,,,4000.0,,,,,,4000.0,,3000.0,3000.0,1089000.0,3243000.0,174000.0,,3419000.0,110000.0
,395000.0,109047000.0,117794000.0,,211000.0,118005000.0,35302000.0,,35302000.0,,22925000.0,12377000.0,,,,219000.0,199000.0,12397000.0,,11331000.0,11331000.0,126400000.0,27303000.0,,111000.0,27414000.0,115732000.0
,1429000.0,2285000.0,2659000.0,,1055000.0,3714000.0,,,,,,,,,,,,,,,,18088000.0,14447000.0,2505000.0,,16952000.0,2659000.0
,43000.0,439000.0,,31000.0,59000.0,482000.0,,,,,,,,,,,,,,,,3072000.0,2318000.0,169000.0,,2682000.0,389000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9000.0,,,9000.0,9000.0,1050000.0,696000.0,354000.0,,,354000.0,,,,,24000.0,330000.0,-66000.0,264000.0,330000.0,3656000.0,1611000.0,2045000.0,,3656000.0,
,128000.0,,128000.0,,,128000.0,,,,,,,,,,,,,,,,45000.0,-25000.0,-17000.0,,-45000.0,128000.0
,,28000.0,,74000.0,191000.0,265000.0,3189000.0,3100000.0,89000.0,,,89000.0,,,,,,89000.0,-191000.0,-102000.0,,,,,,,
,188000.0,343000.0,,,309000.0,578000.0,,,,,,,,,,,,,,,,,3257000.0,,,3257000.0,540000.0
,157000.0,2180000.0,7697000.0,,200000.0,7872000.0,,,,,,,,,,4000.0,,4000.0,,4000.0,4000.0,3910000.0,4476000.0,,,4476000.0,2159000.0
,,19000.0,8000.0,,11000.0,19000.0,,,,,,,,,,,,,,,,800000.0,801000.0,159000.0,,960000.0,8000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2000.0,,2000.0,,2000.0,
,112000.0,1893000.0,55942000.0,,245000.0,56750000.0,,,,,,,,3985000.0,,3000.0,134000.0,3854000.0,-257000.0,3594000.0,3594000.0,102712000.0,114225000.0,18579000.0,,132874000.0,54210000.0
,212613000.0,164057000.0,723082000.0,,179000.0,723261000.0,238650000.0,230713000.0,7937000.0,,,7937000.0,,7832000.0,,1000.0,1070000.0,14700000.0,,11760000.0,11760000.0,11760000.0,36474000.0,43638000.0,,80112000.0,658943000.0
,3113000.0,328000.0,16480000.0,,689000.0,17641000.0,2096000.0,850000.0,1246000.0,,1975000.0,-729000.0,,93000.0,,,6000.0,-642000.0,,-685000.0,,29493000.0,16152000.0,956000.0,73000.0,17867000.0,15280000.0
,98000.0,,-736000.0,1744000.0,36000.0,1052000.0,,,,,,,,,,,,,,,,,,,,,
,106000.0,4000.0,,,,110000.0,,,,,,,,,,,,,,,,53000.0,,39000.0,,52000.0,1000.0
,64000.0,388000.0,,19000.0,2000.0,452000.0,,,,,,,,,,,,,,,,2420000.0,1504000.0,878000.0,44000.0,2426000.0,431000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,558000.0,2954000.0,2566000.0,578000.0,226000.0,3661000.0,,,,,,,,,,,,,,,,18692000.0,18401000.0,2778000.0,,22199000.0,2566000.0
,143000.0,97000.0,280000.0,,112000.0,391000.0,,,,,,,,,,,,,,,,,,,,,
,25000.0,1560000.0,,,,1585000.0,,,,,,,,,,,,,,,,1650000.0,2062000.0,166000.0,,2228000.0,1553000.0
,220000.0,9517000.0,13169000.0,,,13169000.0,,,,,,,,,,14285000.0,16123000.0,-1838000.0,,-1838000.0,,17926000.0,28160000.0,2072000.0,,31620000.0,9517000.0
,101000.0,3097000.0,3090000.0,,19000.0,3225000.0,,,,,,,,,,,,,,,,12511000.0,5942000.0,7183000.0,,13150000.0,3070000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371000.0,19352000.0,25938000.0,,59000.0,25997000.0,,,,,,,,,,1176000.0,331000.0,845000.0,,815000.0,815000.0,31394000.0,29385000.0,2274000.0,546000.0,32346000.0,19671000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44000.0,225000.0,1247000.0,,,1247000.0,,,,,,,,,,,,,,,,6000000000.0,6000000000.0,,,6000000000.0,
,,,2000.0,,9000.0,11000.0,110000.0,109000.0,1000.0,,,1000.0,,,,,,,1000.0,,,,,,,,
,,10000.0,,,10000.0,10000.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000.0,9271000.0,,,,9281000.0,,,,,,,,,,,,,,,,,,,,,
,,6706000.0,,,,6706000.0,,,,,,,,,,,,,,,,5013000.0,1193000.0,1088000.0,,2290000.0,6706000.0
,1000.0,3000.0,3000.0,,1000.0,4000.0,,,,,,,,,,,2000.0,-2000.0,,-2000.0,,,,,,,
,122000.0,17000.0,5633000.0,,13000.0,5646000.0,,,,,,,,,,,,,,,,628000.0,398000.0,276000.0,,1022000.0,5174000.0
,148000.0,19000.0,,175000.0,16000.0,314000.0,,,,,,,,,,,,,,,,633000.0,,671000.0,,671000.0,19000.0
,19000.0,3882000.0,-167000.0,,7679000.0,7512000.0,2500000.0,3817000.0,-1317000.0,,25000.0,-1342000.0,,,,,2000.0,-1344000.0,,-1529000.0,,5550000.0,3330000.0,965000.0,1255000.0,5550000.0,
,114000.0,2794000.0,,,,2908000.0,,,,,,,,,,,,,,,,1072000.0,1585000.0,,,1585000.0,2908000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53000.0,736000.0,,,217000.0,2640000.0,,,,,,,,,,,,,,,,,,,,,
,,,2000.0,,,2000.0,,,,,,,,,,,,,,,,,,,,,
,338000.0,1212000.0,,,283000.0,1550000.0,,,,,,,,,,,,,,,,59284000.0,54335000.0,1404000.0,,55739000.0,1267000.0
,260000.0,,290000.0,,,290000.0,,,,,,,,,,,,,,,,,,,,,
,672000.0,7055000.0,6969000.0,,769000.0,7737000.0,,,,,,,,,,,,,,,,32952000.0,28881000.0,4650000.0,46000.0,33618000.0,6969000.0
,1000.0,109000.0,77000.0,,33000.0,110000.0,555000.0,445000.0,,,,110000.0,,,,,,110000.0,33000.0,77000.0,,,,,,,
,211000.0,3000.0,-1087000.0,,209000.0,1055000.0,,,,,133000.0,-133000.0,,,,,,-133000.0,,-133000.0,,,,,,,
,,81000.0,,,,90000.0,,,,,,,,,,,,,,,,250000.0,,205000.0,,205000.0,81000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33000.0,,,,33000.0,,,,,,,,,,,,,,,,355000.0,1465000.0,,,1492000.0,33000.0
,25000.0,,22000.0,,3000.0,25000.0,,,,,,,,,,36000.0,21000.0,15000.0,,12000.0,,,,,,,
,,1000.0,,,,1000.0,,,,,,,,,,,,,,,,,,,,,
,2862000.0,6002000.0,13629000.0,,133000.0,14020000.0,3495000.0,3400000.0,95000.0,,69000.0,26000.0,,495000.0,40000.0,226000.0,80000.0,627000.0,,616000.0,41000.0,35021000.0,26434000.0,5852000.0,,32552000.0,13557000.0
,,7000.0,-80000.0,,101000.0,21000.0,,,,,,,,,,,,,,,,,,,,,
,46000.0,870000.0,,4000.0,,916000.0,,,,,,,,,,,,,,,,958000.0,750000.0,418000.0,,1169000.0,762000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7000.0,21000.0,10342000.0,,146000.0,10488000.0,,,,,,,,975000.0,,,,975000.0,,917000.0,917000.0,917000.0,8850000.0,947000.0,5000.0,9921000.0,10342000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,845000.0,8000.0,,1000.0,3000.0,1841000.0,,,,,,,,,,,,,,,,,86000.0,29000.0,,212000.0,1764000.0
,15000.0,1000.0,-10000.0,,26000.0,16000.0,,,,,399000.0,-399000.0,,,,,261000.0,-660000.0,,-660000.0,,,,,,,
,1067000.0,39000.0,,1090000.0,16000.0,1106000.0,493000.0,82000.0,,,,411000.0,,,10000.0,,33000.0,368000.0,30000.0,338000.0,338000.0,3688000.0,3688000.0,,,3688000.0,
,3000.0,3000.0,,,480000.0,480000.0,,,,,,,,,,,,,,,,,,,,,
,56000.0,3018000.0,5488000.0,,35000.0,5694000.0,,,,,,,,,,,,,,,,11641000.0,6934000.0,1722000.0,606000.0,9360000.0,3838000.0
,414000.0,51000.0,443000.0,,22000.0,465000.0,,,,,,,,,,,,,,,,803000.0,742000.0,591000.0,,1388000.0,443000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8854000.0,48782000.0,56396000.0,,1090000.0,59352000.0,6060000.0,8017000.0,-1957000.0,,,-1957000.0,,,,,64000.0,-2021000.0,,-2021000.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,542000.0,898000.0,,,203000.0,1675000.0,,,,,,,,,,,,,,,,3752000.0,1843000.0,437000.0,,2294000.0,1472000.0
,33000.0,13000.0,46000.0,,,46000.0,,,,,,,,,,,,,,,,1207000.0,9334000.0,,,9380000.0,73000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,174000.0,2000.0,,,,176000.0,,,,,,,,,,,,,,,,2099000.0,2000000.0,98000.0,,2098000.0,2000.0
,444000.0,3463000.0,25201000.0,,10000.0,25381000.0,,,,,,,,1874000.0,,,,1874000.0,,1818000.0,1818000.0,1818000.0,11047000.0,3843000.0,77000.0,15709000.0,24926000.0
,4000.0,145000.0,119000.0,,30000.0,149000.0,,,,,,,,,,,,,,,,254000.0,38000.0,97000.0,,135000.0,119000.0
,2645000.0,2294000.0,,,29000.0,4940000.0,,,,,,,,,,,,,,,,21710000.0,19433000.0,473000.0,,19906000.0,4910000.0
,87000.0,2576000.0,2322000.0,,259000.0,2845000.0,,,,,,,,,,,,,,,,27660000.0,23804000.0,3889000.0,28000.0,29502000.0,2154000.0
